name,站点类型,Lon,Lat,侧项类别,统计时间,更新时间,纬度,经度
成都地震基准台,有人值守,104,31,"测震,电磁,形变",2020年3月,48:09.0,,
松潘地震台,有人值守,104,33,"测震,电磁,流体",2020年3月,48:09.0,,
乡城地震台,有人值守,100,29,"测震,形变",2020年3月,48:09.0,,
姑咱地震台,有人值守,102,30,"测震,形变",2020年3月,48:09.0,,
巴塘地震台,有人值守,99,30,"测震,电磁",2020年3月,48:09.0,,
攀枝花基准台,有人值守,102,26,"测震,流体,形变",2020年3月,48:09.0,,
泸州地震台,有人值守,105,29,"测震,强震,形变",2020年3月,48:09.0,,
江油地震台,有人值守,105,32,电磁,2020年3月,48:09.0,,
马尔康地震台,有人值守,102,32,测震,2020年3月,48:09.0,,
康定地震中心站,有人值守,102,30,流体,2020年3月,48:09.0,,
九龙地震台,有人值守,102,29,"测震,电磁",2020年3月,48:09.0,,
姑咱水化综合台,有人值守,102,30,流体,2020年3月,48:09.0,,
康定地震台,有人值守,102,30,形变,2020年3月,48:09.0,,
燕子沟地震台,有人值守,102,30,"测震,形变",2020年3月,48:09.0,,
甘孜地震台,有人值守,100,32,"测震,形变,电磁,流体",2020年3月,48:09.0,,
道孚地震台,有人值守,101,31,"测震,电磁",2020年3月,48:09.0,,
南山地震台,有人值守,102,27,"形变,电磁",2020年3月,48:09.0,,
红格地震台,有人值守,102,27,电磁,2020年3月,48:09.0,,
四川省地震局测绘工程院,有人值守,103,30,形变,2020年3月,48:09.0,,
雅安地震台,有人值守,103,30,"测震,形变",2020年3月,48:09.0,,
西昌地震中心站,有人值守,102,28,"测震,形变,电磁,流体",2020年3月,48:09.0,,
小庙地震台,有人值守,102,28,"形变,电磁",2020年3月,48:09.0,,
冕宁地震台,有人值守,102,29,电磁,2020年3月,48:09.0,,
昭觉地震台,有人值守,103,28,流体,2020年3月,48:09.0,,
盐源地震台,有人值守,101,27,流体,2020年3月,48:09.0,,
西昌地磁台,有人值守,102,27,电磁,2020年3月,48:09.0,,
西昌水化综合台,有人值守,102,28,流体,2020年3月,48:09.0,,
马边地震台,有人值守,104,29,电磁,2020年3月,48:09.0,,
松潘川主寺地震台,无人值守,104,33,形变,2020年3月,48:09.0,,
炉霍虾拉沱地震台,无人值守,101,31,形变,2020年3月,48:09.0,,
龙灯坝蠕变动态观测前兆台,无人值守,101,31,形变,2020年3月,48:09.0,,
恰叫蠕变动态观测前兆台,无人值守,101,31,形变,2020年3月,48:09.0,,
沟普蠕变动态观测前兆台,无人值守,101,31,形变,2020年3月,48:09.0,,
紫马垮蠕变动态观测前兆台,无人值守,102,29,形变,2020年3月,48:09.0,,
老乾宁蠕变动态观测前兆台,无人值守,101,31,形变,2020年3月,48:09.0,,
虾拉沱蠕变动态观测前兆台,无人值守,101,31,形变,2020年3月,48:09.0,,
乐山凌云强震台,无人值守,104,30,强震,2020年3月,48:09.0,,
